,Fecha,T. media,T. minima,T. maxima,Precipitacion,Nieve,Velocidad viento
345,2024-12-11,7.5,6.0,9.0,1.7,0.0,4.5
346,2024-12-12,9.1,6.0,12.0,30.3,0.0,7.5
347,2024-12-13,9.0,4.0,14.0,0.0,0.0,6.1
348,2024-12-14,7.5,5.0,12.0,0.0,0.0,8.9
349,2024-12-15,5.6,2.0,12.0,0.0,0.0,5.7
350,2024-12-16,6.5,1.0,13.0,0.0,0.0,6.9
351,2024-12-17,7.9,2.0,14.0,0.0,0.0,7.7
352,2024-12-18,9.2,3.0,16.0,0.0,0.0,4.1
353,2024-12-19,13.7,8.0,18.0,0.0,0.0,14.0
354,2024-12-20,7.5,2.0,13.0,0.0,0.0,9.3
355,2024-12-21,6.0,1.0,13.0,0.0,0.0,6.5
356,2024-12-22,10.3,5.0,15.0,0.0,0.0,14.8
357,2024-12-23,7.8,3.0,14.0,0.0,0.0,6.7
358,2024-12-24,5.7,1.0,12.0,0.0,0.0,5.4
359,2024-12-25,8.3,4.0,15.0,0.0,0.0,4.6
360,2024-12-26,10.3,8.0,13.0,0.0,0.0,4.3
361,2024-12-27,7.4,2.0,15.0,0.0,0.0,5.0
362,2024-12-28,5.5,-1.0,15.0,0.0,0.0,4.3
363,2024-12-29,5.5,0.0,15.0,0.0,0.0,4.8
364,2024-12-30,4.8,-1.0,14.0,0.0,0.0,5.0
365,2024-12-31,5.1,0.0,12.0,0.0,0.0,3.5
