,Nombre_tienda,Estrellas,Reseñas,Precio,Tipo_local,Direccion
66,Més Q Dolç Repostería,"4,6",(117),"4,6(117) · €","Tienda de artículos de cocina ·  · Avinguda del Marquès de Mont-Roig, 164
Cierra pronto ⋅ 13:30 ⋅ Próxima apertura: 17:00","Tienda de artículos de cocina ·  · Avinguda del Marquès de Mont-Roig, 164"
67,Can Soler Layret,"4,6",(974),"4,6(974) · €€","Helado · Carrer de Francesc Layret, 98
Cerrado ⋅ Apertura: 14:00","Helado · Carrer de Francesc Layret, 98"
68,M.C. Bakery Shop,"3,7",(6),"3,7(6)","Panadería ·  · Carrer de Mendelsson, 1
Abierto ⋅ Cierra a las 20:00","Panadería ·  · Carrer de Mendelsson, 1"
69,Cafè 1 Euro La Salut,"4,3",(66),"4,3(66) · 1-10 €","Cafetería ·  · Carrer d'Echegaray, 12
Abierto ⋅ Cierra a las 21:30","Cafetería ·  · Carrer d'Echegaray, 12"
70,2d2 Panaderia,"4,2",(51),"4,2(51)","Panadería ·  · Carrer de Còrsega
Abierto ⋅ Cierra a las 0:00",Panadería ·  · Carrer de Còrsega
71,moniberic,"4,6",(62),"4,6(62)","Jamonería ·  · Carrer de la Independència, 181
Abierto ⋅ Cierra a las 14:00 ⋅ Próxima apertura: 17:00","Jamonería ·  · Carrer de la Independència, 181"
72,Paco-Mer,"4,5",(115),"4,5(115) · 1-10 €","Cafetería · Carrer d'En Prim, 174
Abierto ⋅ Cierra a las 18:00","Cafetería · Carrer d'En Prim, 174"
73,La Churrería Bertran,"4,2",(328),"4,2(328) · 1-10 €","Cafetería · Pl. de la Vila, 6
Cierra pronto ⋅ 13:00 ⋅ Próxima apertura: 17:00","Cafetería · Pl. de la Vila, 6"
74,Sabores Express,"4,4",(57),"4,4(57) · 1-10 €","Comida rápida · Carrer de Mar, 103
Abierto ⋅ Cierra a las 23:00","Comida rápida · Carrer de Mar, 103"
75,Bendita Trumfa,"4,2",(784),"4,2(784) · 10-20 €","Restaurante ·  · Carrer de Mar, 94
Abierto ⋅ Cierra a las 23:00","Restaurante ·  · Carrer de Mar, 94"
76,Gelateria Fillol,"4,7",(896),"4,7(896) · €€","Helado ·  · Carrer de Sant Joaquim, 4
Cerrado ⋅ Apertura: 12:00 (vie)","Helado ·  · Carrer de Sant Joaquim, 4"
77,Cafeteria San Jordi,"4,1",(99),"4,1(99) · 1-10 €","Cafetería ·  · Via Augusta, 19, 25
Abierto ⋅ Cierra a las 19:00","Cafetería ·  · Via Augusta, 19, 25"
78,Lillo Picó,"4,6",(1.205),"4,6(1.205) · €€","Helado ·  · Carrer de la Creu, 91
Cerrado ⋅ Apertura: 16:30","Helado ·  · Carrer de la Creu, 91"
79,Milú Cafeteria,"4,6",(56),"4,6(56) · 1-10 €","Cafetería · Passeig de la Salut, 57
Abierto ⋅ Cierra a las 22:00","Cafetería · Passeig de la Salut, 57"
80,365 Obrador,"3,8",(1.111),"3,8(1.111) · 1-10 €","Cafetería ·  · Av. d'Alfons XIII, 2
Abierto ⋅ Cierra a las 22:00","Cafetería ·  · Av. d'Alfons XIII, 2"
81,Catafal,"3,9",(262),"3,9(262) · 1-10 €","Panadería ·  · Carrer de Rivero, 5
Abierto ⋅ Cierra a las 20:00","Panadería ·  · Carrer de Rivero, 5"
82,Horno Camps Listz,"4,2",(46),"4,2(46) · €","Panadería · Carrer de Liszt, 51
Abierto ⋅ Cierra a las 15:00 ⋅ Próxima apertura: 16:30","Panadería · Carrer de Liszt, 51"
83,Catafal Forners (Sagunt),"3,8",(79),"3,8(79) · 1-10 €","Panadería · Carrer de Sagunt, 84
Abierto ⋅ Cierra a las 21:00","Panadería · Carrer de Sagunt, 84"
84,Cuppa Brunch & Dinner,"4,5",(194),"4,5(194) · 1-10 €","Restaurante ·  · Carrer Pi i Margall, 21
Abierto ⋅ Cierra a las 22:00","Restaurante ·  · Carrer Pi i Margall, 21"
85,La parada fruiteria de proximitat,"4,5",(160),"4,5(160)","Frutería ·  · Carrer de Francesc Layret, 118
Abierto ⋅ Cierra a las 20:30","Frutería ·  · Carrer de Francesc Layret, 118"
86,Forn Catafal - Forners des de 1859,"3,7",(57),"3,7(57) · 1-10 €","Panadería ·  · Carrer de Ponent, 85
Abierto ⋅ Cierra a las 21:00","Panadería ·  · Carrer de Ponent, 85"
87,Mercadona,"4,0",(3.676),"4,0(3.676)","Supermercado ·  · Carrer de la Filosofia, 2
Abierto ⋅ Cierra a las 21:00","Supermercado ·  · Carrer de la Filosofia, 2"
